,state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,person,Male,Female,growthinpopulation,rural,urban,STPop,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,religion3name,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
37,bihar,patna,2001.0,434,581,27,0,27,197,11,186,90,47,0,152,39,4718592,2519942,2198650,30.17,2757060,873.0,9236,62.92,73.34,50.83,1425647,1161984,263663,3292945,1.Hindus,4333556,2.Muslims,366164,3.Christians,8951,1288.0,1288.0,615.0,1199.0,390
38,bihar,rohtas,2001.0,127,112,25,0,25,72,18,54,36,21,0,59,0,2450748,1283485,1167263,27.71,2123942,909.0,25663,61.29,75.31,45.71,744183,544731,199452,1706565,1.Hindus,2199049,2.Muslims,246760,3.Sikhs,2549,1710.0,1710.0,493.0,1185.0,153
39,bihar,saharsa,2001.0,36,151,12,0,12,27,10,17,7,9,0,12,0,1508182,789432,718750,33.03,1383015,910.0,4642,39.08,51.66,25.27,589467,411566,177901,918715,1.Hindus,1289364,2.Muslims,217922,3.Christians,437,441.0,441.0,127.0,374.0,63
40,bihar,samastipur,2001.0,107,115,19,0,19,75,29,46,11,17,9,35,29,3394793,1760692,1634101,25.63,3271338,928.0,3362,45.13,57.59,31.67,1071974,843356,228618,2322819,1.Hindus,3035755,2.Muslims,355897,3.Religion not stated,1432,1122.0,1122.0,674.0,878.0,195
41,bihar,saran,2001.0,137,70,20,0,20,65,15,50,67,22,0,101,0,3248701,1652661,1596040,26.37,2950064,966.0,6667,51.8,67.3,35.82,860940,644618,216322,2387761,1.Hindus,2909213,2.Muslims,337767,3.Religion not stated,758,1566.0,1566.0,544.0,1213.0,342
42,bihar,sitamarhi,2001.0,51,5,23,0,23,34,20,14,13,1,0,21,0,2682720,1417611,1265109,32.58,2529407,892.0,1786,38.46,49.36,26.13,855156,714136,141020,1827564,1.Hindus,2111476,2.Muslims,568992,3.Religion not stated,1237,802.0,802.0,302.0,709.0,216
43,bihar,siwan,2001.0,116,150,4,0,4,51,26,25,32,6,0,10,0,2714349,1336283,1378066,24.78,2564860,1031.0,13822,51.65,67.26,36.88,730437,511578,218859,1983912,1.Hindus,2218632,2.Muslims,494176,3.Religion not stated,899,1438.0,1438.0,441.0,1119.0,254
44,bihar,vaishali,2001.0,110,148,20,0,20,90,28,62,59,52,0,179,0,2718421,1415603,1302818,26.39,2531766,920.0,3068,50.49,63.23,36.58,782717,624452,158265,1935704,1.Hindus,2457636,2.Muslims,259158,3.Religion not stated,922,1414.0,1414.0,970.0,929.0,154
45,chhattisgarh,bilaspur,2001.0,99,42,69,0,69,20,20,0,7,180,10,94,0,1998355,1013875,984480,17.59,1511661,971.0,397104,63.51,78.43,48.17,857577,630504,227073,1140778,1.Hindus,1904580,2.Muslims,45342,3.Others,19325,1579.0,1545.0,1494.0,1426.0,452
46,chhattisgarh,durg,2001.0,76,66,144,0,144,57,42,15,12,287,38,231,0,2810436,1417893,1392543,16.88,1738127,982.0,348801,75.62,86.43,64.64,1162833,965624,197209,1647603,1.Hindus,2654202,2.Muslims,70398,3.Sikhs,23399,1776.0,1762.0,1737.0,1698.0,669
