YEAR,person,Male,Female,growthinpopulation,urban,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,religion1 population,Religion2 Population,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,state,District,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,rural,Religion1,Religion2,religion3name,Medical facility
2001.0,3746714,1951466,1795248,26.74,920.0,47.95,59.1,35.81,1139830,895830,244000,2606884,3168225,573951,2104,1725.0,1725.0,1021.0,1423.0,bihar,muzaffarpur,153.0,162,73,0.0,73.0,113,25,88,69,81,0,141,6,3398361.0,1.Hindus,2.Muslims,3.Religion not stated,526.0
2001.0,2370528,1238599,1131929,18.64,914.0,53.19,66.44,38.58,903144,700007,203137,1467384,2191552,176871,888,1000.0,1000.0,366.0,879.0,bihar,nalanda,208.0,249,40,0.0,40.0,126,12,114,47,14,2,54,0,2016899.0,1.Hindus,2.Muslims,3.Religion not stated,198.0
2001.0,4718592,2519942,2198650,30.17,873.0,62.92,73.34,50.83,1425647,1161984,263663,3292945,4333556,366164,8951,1288.0,1288.0,615.0,1199.0,bihar,patna,434.0,581,27,0.0,27.0,197,11,186,90,47,0,152,39,2757060.0,1.Hindus,2.Muslims,3.Christians,390.0
2001.0,2450748,1283485,1167263,27.71,909.0,61.29,75.31,45.71,744183,544731,199452,1706565,2199049,246760,2549,1710.0,1710.0,493.0,1185.0,bihar,rohtas,127.0,112,25,0.0,25.0,72,18,54,36,21,0,59,0,2123942.0,1.Hindus,2.Muslims,3.Sikhs,153.0
2001.0,1508182,789432,718750,33.03,910.0,39.08,51.66,25.27,589467,411566,177901,918715,1289364,217922,437,441.0,441.0,127.0,374.0,bihar,saharsa,36.0,151,12,0.0,12.0,27,10,17,7,9,0,12,0,1383015.0,1.Hindus,2.Muslims,3.Christians,63.0
2001.0,3394793,1760692,1634101,25.63,928.0,45.13,57.59,31.67,1071974,843356,228618,2322819,3035755,355897,1432,1122.0,1122.0,674.0,878.0,bihar,samastipur,107.0,115,19,0.0,19.0,75,29,46,11,17,9,35,29,3271338.0,1.Hindus,2.Muslims,3.Religion not stated,195.0
2001.0,3248701,1652661,1596040,26.37,966.0,51.8,67.3,35.82,860940,644618,216322,2387761,2909213,337767,758,1566.0,1566.0,544.0,1213.0,bihar,saran,137.0,70,20,0.0,20.0,65,15,50,67,22,0,101,0,2950064.0,1.Hindus,2.Muslims,3.Religion not stated,342.0
2001.0,2682720,1417611,1265109,32.58,892.0,38.46,49.36,26.13,855156,714136,141020,1827564,2111476,568992,1237,802.0,802.0,302.0,709.0,bihar,sitamarhi,51.0,5,23,0.0,23.0,34,20,14,13,1,0,21,0,2529407.0,1.Hindus,2.Muslims,3.Religion not stated,216.0
2001.0,2714349,1336283,1378066,24.78,1031.0,51.65,67.26,36.88,730437,511578,218859,1983912,2218632,494176,899,1438.0,1438.0,441.0,1119.0,bihar,siwan,116.0,150,4,0.0,4.0,51,26,25,32,6,0,10,0,2564860.0,1.Hindus,2.Muslims,3.Religion not stated,254.0
2001.0,2718421,1415603,1302818,26.39,920.0,50.49,63.23,36.58,782717,624452,158265,1935704,2457636,259158,922,1414.0,1414.0,970.0,929.0,bihar,vaishali,110.0,148,20,0.0,20.0,90,28,62,59,52,0,179,0,2531766.0,1.Hindus,2.Muslims,3.Religion not stated,154.0
2001.0,1998355,1013875,984480,17.59,971.0,63.51,78.43,48.17,857577,630504,227073,1140778,1904580,45342,19325,1579.0,1545.0,1494.0,1426.0,chhattisgarh,bilaspur,99.0,42,69,0.0,69.0,20,20,0,7,180,10,94,0,1511661.0,1.Hindus,2.Muslims,3.Others,452.0
2001.0,2810436,1417893,1392543,16.88,982.0,75.62,86.43,64.64,1162833,965624,197209,1647603,2654202,70398,23399,1776.0,1762.0,1737.0,1698.0,chhattisgarh,durg,76.0,66,144,0.0,144.0,57,42,15,12,287,38,231,0,1738127.0,1.Hindus,2.Muslims,3.Sikhs,669.0
2001.0,1265529,634597,630932,18.68,994.0,70.16,82.7,57.62,601564,430725,170839,663965,1212180,36098,12637,1433.0,1410.0,1385.0,1350.0,chhattisgarh,raigarh,50.0,24,53,0.0,53.0,6,6,0,2,104,5,22,0,1096073.0,1.Hindus,2.Christians,3.Muslims,279.0
2001.0,3016930,1523925,1493005,18.97,980.0,68.51,81.97,54.81,1264663,961507,303156,1752267,2881933,77963,16857,2124.0,2101.0,1955.0,1987.0,chhattisgarh,raipur,92.0,102,104,0.0,104.0,38,28,10,16,253,42,121,0,2099312.0,1.Hindus,2.Muslims,3.Christians,696.0
2001.0,1283224,634342,648882,17.7,1023.0,77.21,87.17,67.55,649401,558996,90405,633823,1215492,28020,21035,1605.0,1595.0,1550.0,1484.0,chhattisgarh,rajnandgaon,36.0,27,58,0.0,58.0,4,3,1,3,92,12,51,0,1051577.0,1.Hindus,2.Buddhists,3.Muslims,343.0
2001.0,1393918,701593,692325,6.45,987.0,66.09,76.44,55.78,600819,470043,130776,793099,1307460,83077,2309,615.0,614.0,615.0,614.0,gujarat,amreli,41.0,11,2,0.0,2.0,39,34,5,2,21,0,94,0,1080960.0,1.Hindus,2.Muslims,3.Jains,383.0
2001.0,1856872,972000,884872,13.03,910.0,74.51,86.09,61.94,784711,617669,167042,1072161,1616127,199263,29461,350.0,350.0,350.0,350.0,gujarat,anand,28.0,16,3,0.0,3.0,30,28,2,0,27,3,210,0,1348901.0,1.Hindus,2.Muslims,3.Christians,301.0
2001.0,1370656,713676,656980,19.32,921.0,74.41,82.98,65.11,570693,469551,101142,799963,1059796,293459,8824,657.0,657.0,656.0,644.0,gujarat,bharuch,37.0,14,4,0.0,4.0,39,34,5,0,19,0,56,0,1018096.0,1.Hindus,2.Muslims,3.Christians,403.0
2001.0,2469630,1274920,1194710,19.29,937.0,66.2,78.02,53.73,944559,781166,163393,1525071,2264062,172740,28921,790.0,790.0,789.0,786.0,gujarat,bhavnagar,64.0,28,9,0.0,9.0,60,51,9,2,36,7,129,0,1534592.0,1.Hindus,2.Muslims,3.Jains,526.0
2001.0,1334455,697999,636456,23.88,912.0,76.59,87.74,64.58,554336,467413,86923,780119,1269766,50559,7769,291.0,291.0,291.0,290.0,gujarat,gandhinagar,25.0,11,4,0.0,4.0,15,12,3,3,37,7,116,0,867195.0,1.Hindus,2.Muslims,3.Jains,244.0
2001.0,1904278,981320,922958,22.39,941.0,66.48,76.25,56.18,734382,624057,110325,1169896,1605941,270223,21907,698.0,695.0,666.0,666.0,gujarat,jamnagar,48.0,27,20,0.0,20.0,27,22,5,2,18,2,163,0,1068022.0,1.Hindus,2.Muslims,3.Jains,286.0
2001.0,2448173,1252350,1195823,17.08,955.0,67.78,78.74,56.43,1000842,785530,215312,1447331,2165734,274481,4291,923.0,922.0,901.0,858.0,gujarat,junagadh,56.0,37,14,0.0,14.0,46,39,7,11,44,8,384,0,1736645.0,1.Hindus,2.Muslims,3.Jains,803.0
2001.0,514404,263986,250418,14.4,949.0,59.86,72.44,46.61,259116,176372,82744,255288,482552,20429,5122,552.0,552.0,530.0,515.0,gujarat,narmada,16.0,3,8,0.0,8.0,9,8,1,0,7,1,9,0,462298.0,1.Hindus,2.Muslims,3.Christians,324.0
2001.0,1229463,628988,600475,13.22,955.0,75.83,82.77,68.61,545215,457002,88213,684248,1135525,69972,13575,374.0,374.0,374.0,368.0,gujarat,navsari,26.0,6,2,0.0,2.0,6,5,1,0,6,0,17,0,893110.0,1.Hindus,2.Muslims,3.Jains,268.0
2001.0,1182709,612100,570609,14.08,932.0,60.36,73.63,46.33,533078,395470,137608,649631,1057013,119748,5136,517.0,516.0,517.0,514.0,gujarat,patan,24.0,18,3,0.0,3.0,21,21,0,0,23,0,78,0,944281.0,1.Hindus,2.Muslims,3.Jains,265.0
2001.0,536835,275821,261014,14.35,946.0,68.62,78.36,58.42,215134,173594,41540,321701,507176,28404,589,182.0,182.0,155.0,156.0,gujarat,porbandar,15.0,9,6,0.0,6.0,5,5,0,0,10,0,64,0,275460.0,1.Hindus,2.Muslims,3.Jains,130.0
